instruction_id,instruction_number,rq_year,rq_semester,dept,area,year,subject,professor,url,credit,time,class_time,required,number_of_people,note,foreigner,mooc,team_teaching,online
1077,E01207101,20,1,영어교육과,전공,2.0,고급영어토론및발표,Michael Lance Rabbidge,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01207101,2,2,월 3 4,0,40,2학년 우선,1,0,0,0
1078,A01218501,20,1,영어교육과,전공,2.0,영.미문학개론,이윤주,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=A01218501,3,3,화 7 8 9,0,50,2학년 우선,0,0,0,0
1079,E01407601,20,1,영어교육과,전공,2.0,영어교수법,이길영,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01407601,3,3,수 7 8 9,1,50,2학년 우선/1전공만,1,0,0,0
1080,E01408101,20,1,영어교육과,전공,2.0,영어교수학습이론,윤현숙,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01408101,3,3,화 1 2 3,1,50,2학년 우선/1전공만,0,0,0,0
1081,E01359201,20,1,영어교육과,전공,3.0,멀티미디어영어교육,이충현,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01359201,3,3,수 7 8 9,1,45,3학년 우선,0,0,0,0
1082,E01303601,20,1,영어교육과,전공,3.0,영어교과교육론,조소은,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01303601,3,3,월 1 2 3,1,50,3학년 우선/1전공만,0,0,0,0
1083,E01318101,20,1,영어교육과,전공,3.0,영어학습평가,김현정,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01318101,2,2,월 5 6,0,40,3학년 우선,0,0,0,0
1084,E01357101,20,1,영어교육과,전공,3.0,영어학특강1,조기석,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01357101,2,2,금 5 6,0,50,3학년 우선,0,0,0,0
1085,E01455301,20,1,영어교육과,전공,4.0,영문학특강,이윤주,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01455301,2,2,월 7,0,40,4학년 우선,0,0,0,0
1086,E01412101,20,1,영어교육과,전공,4.0,영어교육세미나,이준규,https://wis.hufs.ac.kr/src08/jsp/lecture/syllabus.jsp?mode=print&ledg_year=2020&ledg_sessn=1&org_sect=A&lssn_cd=E01412101,3,3,화 1 2 3,0,30,4학년 우선,0,0,0,0
